exportcountry,exportccode,importcountry,importccode,tiv_value,year,decade,fh_score,fh_scoreround,fh_rating,fh_rating_abc,top_exporter,top_importer
Albania,ALB,Burkina Faso,BFA,0.24,2011,2010s,4,4,PF,b) Partly Free,Other exporter,Other importer
Algeria,DZA,Angola,AGO,6,1980,1980s,7,7,NF,c) Not Free,Other exporter,Angola
Angola,AGO,Congo,COG,2.8,1979,1970s,7,7,NF,c) Not Free,Other exporter,Other importer
Angola,AGO,Cote d'Ivoire,CIV,0.72,2002,2000s,6,6,NF,c) Not Free,Other exporter,Other importer
Angola,AGO,Cote d'Ivoire,CIV,0.984,2002,2000s,6,6,NF,c) Not Free,Other exporter,Other importer
Angola,AGO,Guinea Bissau,GNB,0.048,1980,1980s,6,6,NF,c) Not Free,Other exporter,Other importer
Angola,AGO,USA,USA,20,1992,1990s,1,1,F,a) Free,Other exporter,USA
Argentina,ARG,Bolivia,BOL,2.22,2006,2000s,3,3,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Colombia,COL,6,1990,1990s,3.5,3.5,PF,b) Partly Free,Other exporter,Colombia
Argentina,ARG,Denmark,DNK,4,1987,1980s,1,1,F,a) Free,Other exporter,Denmark
Argentina,ARG,Ecuador,ECU,4.158,1995,1990s,2.5,2.5,F,a) Free,Other exporter,Ecuador
Argentina,ARG,Honduras,HND,1,1981,1980s,2.5,2.5,F,a) Free,Other exporter,Other importer
Argentina,ARG,Honduras,HND,1,1982,1980s,3,3,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Honduras,HND,1,1983,1980s,2.5,2.5,F,a) Free,Other exporter,Other importer
Argentina,ARG,Iran,IRN,9,1984,1980s,5.5,5.5,PF,b) Partly Free,Other exporter,Iran
Argentina,ARG,Paraguay,PRY,0.252,1972,1970s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,1,1979,1970s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,1.08,1980,1980s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,1.2,2011,2010s,3,3,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,1.28,1976,1970s,5.5,5.5,NF,c) Not Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,2.016,1982,1980s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,10.56,1972,1970s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Spain,ESP,6,2001,2000s,1.5,1.5,F,a) Free,Other exporter,Spain
Argentina,ARG,Sri Lanka,LKA,3.8,1994,1990s,4.5,4.5,PF,b) Partly Free,Other exporter,Sri Lanka
Argentina,ARG,Sri Lanka,LKA,11.4,1993,1990s,4.5,4.5,PF,b) Partly Free,Other exporter,Sri Lanka
Argentina,ARG,Uruguay,URY,0.37,1991,1990s,1.5,1.5,F,a) Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,0.37,1994,1990s,2,2,F,a) Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,0.48,1979,1970s,6,6,NF,c) Not Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,2,2000,2000s,1,1,F,a) Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,6.3,1979,1970s,6,6,NF,c) Not Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,22.8,1981,1980s,5,5,PF,b) Partly Free,Other exporter,Uruguay
Aruba,ABW,Israel,ISR,17.8,1996,1990s,2,2,F,a) Free,Other exporter,Israel
Australia,AUS,Brazil,BRA,6,1976,1970s,4.5,4.5,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brazil,BRA,6,1977,1970s,4.5,4.5,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brazil,BRA,6,1978,1970s,4,4,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brazil,BRA,6,1979,1970s,3.5,3.5,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brazil,BRA,6,1980,1980s,3.5,3.5,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brunei,BRN,9.8,1996,1990s,6,6,NF,c) Not Free,Australia,Brunei
Australia,AUS,Cambodia,KHM,6,1972,1970s,5.5,5.5,NF,c) Not Free,Australia,Cambodia
Australia,AUS,Fiji,FJI,6,1994,1990s,3.5,3.5,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Fiji,FJI,12,1995,1990s,3.5,3.5,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Ghana,GHA,0.22,2006,2000s,1.5,1.5,F,a) Free,Australia,Ghana
Australia,AUS,Indonesia,IDN,1.152,1978,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,2,1973,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,2.4,1973,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,2.4,1974,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,3,1975,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,3.96,1982,1980s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,3.96,1986,1980s,5.5,5.5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,4.5,1997,1990s,6,6,NF,c) Not Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,6,1976,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,7.92,1983,1980s,5.5,5.5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,7.92,1985,1980s,5.5,5.5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,8,2003,2000s,3.5,3.5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,9.6,1997,1990s,6,6,NF,c) Not Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,10,1978,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,15,1981,1980s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,15,1982,1980s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,20,1979,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,22.4,1973,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Iraq,IRQ,0.22,2004,2000s,6,6,NF,c) Not Free,Australia,Iraq
Australia,AUS,Jordan,JOR,0.66,2006,2000s,4.5,4.5,PF,b) Partly Free,Australia,Jordan
Australia,AUS,Kiribati,KIR,6,1994,1990s,1,1,F,a) Free,Australia,Other importer
Australia,AUS,Kuwait,KWT,0.36,1997,1990s,5,5,PF,b) Partly Free,Australia,Kuwait
Australia,AUS,Kuwait,KWT,3.6,1998,1990s,5,5,PF,b) Partly Free,Australia,Kuwait
Australia,AUS,Kuwait,KWT,15,1993,1990s,5,5,PF,b) Partly Free,Australia,Kuwait
Australia,AUS,Lesotho,LSO,0.24,2004,2000s,2.5,2.5,F,a) Free,Australia,Other importer
Australia,AUS,Malaysia,MYS,0.69,2001,2000s,5,5,PF,b) Partly Free,Australia,Malaysia
Australia,AUS,Marshall Islands,MHL,6,1991,1990s,1,1,F,a) Free,Australia,Other importer
Australia,AUS,Micronesia,FSM,6,1997,1990s,1.5,1.5,F,a) Free,Australia,Other importer
Australia,AUS,Micronesia,FSM,12,1990,1990s,,,..,unknown,Australia,Other importer
Australia,AUS,Netherlands,NLD,1,2007,2000s,1,1,F,a) Free,Australia,Netherlands
Australia,AUS,Netherlands,NLD,1,2008,2000s,1,1,F,a) Free,Australia,Netherlands
Australia,AUS,Netherlands,NLD,1.8,2009,2000s,1,1,F,a) Free,Australia,Netherlands
Australia,AUS,Netherlands,NLD,2.6,2008,2000s,1,1,F,a) Free,Australia,Netherlands
Australia,AUS,Netherlands,NLD,2.8,2009,2000s,1,1,F,a) Free,Australia,Netherlands
Australia,AUS,Netherlands,NLD,5,2006,2000s,1,1,F,a) Free,Australia,Netherlands
Australia,AUS,New Zealand,NZL,6,1989,1980s,1,1,F,a) Free,Australia,New Zealand
Australia,AUS,New Zealand,NZL,36,1984,1980s,1,1,F,a) Free,Australia,New Zealand
Australia,AUS,New Zealand,NZL,44,2010,2010s,1,1,F,a) Free,Australia,New Zealand
Australia,AUS,New Zealand,NZL,48,2009,2000s,1,1,F,a) Free,Australia,New Zealand
Australia,AUS,Pakistan,PAK,67.2,1991,1990s,4.5,4.5,PF,b) Partly Free,Australia,Pakistan
Australia,AUS,Pakistan,PAK,134.4,1990,1990s,4,4,PF,b) Partly Free,Australia,Pakistan
Australia,AUS,Palau,PLW,6,1996,1990s,1.5,1.5,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,1.5,1978,1970s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,2,1981,1980s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,3,1977,1970s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,4,1975,1970s,2.5,2.5,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,4.192,1989,1980s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,5,1984,1980s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,6,1988,1980s,2.5,2.5,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,6,1989,1980s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,10,1982,1980s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,12,1975,1970s,2.5,2.5,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,12,1987,1980s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Papua New Guinea,PNG,16,1975,1970s,2.5,2.5,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Philippines,PHL,1.5,1980,1980s,5,5,PF,b) Partly Free,Australia,Philippines
Australia,AUS,Philippines,PHL,1.8,1990,1990s,3,3,PF,b) Partly Free,Australia,Philippines
Australia,AUS,Philippines,PHL,6,1975,1970s,5,5,PF,b) Partly Free,Australia,Philippines
Australia,AUS,Philippines,PHL,10.5,1976,1970s,5,5,PF,b) Partly Free,Australia,Philippines
Australia,AUS,Samoa,WSM,6,1988,1980s,3.5,3.5,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Singapore,SGP,15,2012,2010s,4,4,PF,b) Partly Free,Australia,Singapore
Australia,AUS,Singapore,SGP,30,2010,2010s,4.5,4.5,PF,b) Partly Free,Australia,Singapore
Australia,AUS,Singapore,SGP,30,2011,2010s,4,4,PF,b) Partly Free,Australia,Singapore
Australia,AUS,Solomon Islands,SLB,6,1988,1980s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Solomon Islands,SLB,6,1991,1990s,1,1,F,a) Free,Australia,Other importer
Australia,AUS,Sweden,SWE,6.4,2003,2000s,1,1,F,a) Free,Australia,Sweden
Australia,AUS,Thailand,THA,3,1982,1980s,3.5,3.5,PF,b) Partly Free,Australia,Thailand
Australia,AUS,Thailand,THA,5,1985,1980s,3.5,3.5,PF,b) Partly Free,Australia,Thailand
Australia,AUS,Thailand,THA,13.5,1983,1980s,3.5,3.5,PF,b) Partly Free,Australia,Thailand
Australia,AUS,Thailand,THA,13.5,1984,1980s,3.5,3.5,PF,b) Partly Free,Australia,Thailand
Australia,AUS,Thailand,THA,20,1984,1980s,3.5,3.5,PF,b) Partly Free,Australia,Thailand
Australia,AUS,Thailand,THA,20,1985,1980s,3.5,3.5,PF,b) Partly Free,Australia,Thailand
Australia,AUS,Tonga,TON,6,1989,1980s,3.5,3.5,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Tonga,TON,6,1990,1990s,3,3,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Tonga,TON,6,1991,1990s,3,3,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Trinidad & Tobago,TTO,24,2010,2010s,2,2,F,a) Free,Australia,Other importer
Australia,AUS,Tuvalu,TUV,6,1994,1990s,1,1,F,a) Free,Australia,Other importer
Australia,AUS,UK,GBR,4.8,2008,2000s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,6,1992,1990s,1.5,1.5,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,7.2,1980,1980s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,7.2,1981,1980s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,7.2,1982,1980s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,7.8,1979,1970s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,8.4,1977,1970s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,8.4,1978,1970s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,30,1993,1990s,1.5,1.5,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,45,1973,1970s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,45,1977,1970s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,90,1974,1970s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,90,1975,1970s,1,1,F,a) Free,Australia,UK
Australia,AUS,UK,GBR,90,1976,1970s,1,1,F,a) Free,Australia,UK
Australia,AUS,USA,USA,1.68,2004,2000s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,12,2001,2000s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,18,1994,1990s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,24,1995,1990s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,30,2001,2000s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,30,2002,2000s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,30,2003,2000s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,30,2012,2010s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,53.4,1986,1980s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,71.2,1987,1980s,1,1,F,a) Free,Australia,USA
Australia,AUS,USA,USA,96,2011,2010s,1,1,F,a) Free,Australia,USA
Australia,AUS,Vanuatu,VUT,6,1987,1980s,3,3,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Yemen,YEM,49,2005,2000s,5,5,PF,b) Partly Free,Australia,Yemen
Austria,AUT,Argentina,ARG,2.8,2007,2000s,2,2,F,a) Free,Other exporter,Argentina
Austria,AUT,Argentina,ARG,7.5,1986,1980s,1.5,1.5,F,a) Free,Other exporter,Argentina
Austria,AUT,Argentina,ARG,32.2,1979,1970s,5.5,5.5,NF,c) Not Free,Other exporter,Argentina
Austria,AUT,Argentina,ARG,32.9,1978,1970s,5.5,5.5,NF,c) Not Free,Other exporter,Argentina
Austria,AUT,Argentina,ARG,39.9,1981,1980s,5.5,5.5,NF,c) Not Free,Other exporter,Argentina
Austria,AUT,Belgium,BEL,0.6,1998,1990s,1.5,1.5,F,a) Free,Other exporter,Belgium
Austria,AUT,Belgium,BEL,1.8,2002,2000s,1,1,F,a) Free,Other exporter,Belgium
Austria,AUT,Belgium,BEL,5.1,2000,2000s,1.5,1.5,F,a) Free,Other exporter,Belgium
Austria,AUT,Belgium,BEL,10.5,1999,1990s,1.5,1.5,F,a) Free,Other exporter,Belgium
Austria,AUT,Bolivia,BOL,0.75,1979,1970s,3,3,PF,b) Partly Free,Other exporter,Other importer
Austria,AUT,Bolivia,BOL,0.75,1980,1980s,6,6,NF,c) Not Free,Other exporter,Other importer
Austria,AUT,Bolivia,BOL,1.35,2010,2010s,3,3,PF,b) Partly Free,Other exporter,Other importer
Austria,AUT,Bolivia,BOL,1.8,1978,1970s,4,4,PF,b) Partly Free,Other exporter,Other importer
Austria,AUT,Bolivia,BOL,8.4,1979,1970s,3,3,PF,b) Partly Free,Other exporter,Other importer
Austria,AUT,Bolivia,BOL,15.4,1980,1980s,6,6,NF,c) Not Free,Other exporter,Other importer
Austria,AUT,Botswana,BWA,0.6,2000,2000s,2,2,F,a) Free,Other exporter,Other importer
Austria,AUT,Botswana,BWA,14,2000,2000s,2,2,F,a) Free,Other exporter,Other importer
Austria,AUT,Brazil,BRA,0.75,2001,2000s,3,3,PF,b) Partly Free,Other exporter,Brazil
Austria,AUT,Brazil,BRA,11.9,2001,2000s,3,3,PF,b) Partly Free,Other exporter,Brazil
Austria,AUT,Czech Republic,CZE,4.59,2009,2000s,1,1,F,a) Free,Other exporter,Czech Republic
Austria,AUT,Czech Republic,CZE,7.56,2012,2010s,1,1,F,a) Free,Other exporter,Czech Republic
Austria,AUT,Czech Republic,CZE,8.1,2010,2010s,1,1,F,a) Free,Other exporter,Czech Republic
Austria,AUT,Czech Republic,CZE,8.64,2011,2010s,1,1,F,a) Free,Other exporter,Czech Republic
Austria,AUT,Egypt,EGY,0.8,2002,2000s,6,6,NF,c) Not Free,Other exporter,Egypt
Austria,AUT,Egypt,EGY,77.76,2002,2000s,6,6,NF,c) Not Free,Other exporter,Egypt
Austria,AUT,France,FRA,0.24,2000,2000s,1.5,1.5,F,a) Free,Other exporter,France
Austria,AUT,France,FRA,54,2006,2000s,1,1,F,a) Free,Other exporter,France
Austria,AUT,France,FRA,54,2007,2000s,1,1,F,a) Free,Other exporter,France
Austria,AUT,Gabon,GAB,0.3,2004,2000s,4.5,4.5,PF,b) Partly Free,Other exporter,Other importer
Austria,AUT,Gabon,GAB,2.4,1978,1970s,6,6,NF,c) Not Free,Other exporter,Other importer
Austria,AUT,Germany (FRG),DEU,0.04,2005,2000s,1,1,F,a) Free,Other exporter,Germany (FRG)
Austria,AUT,Germany (FRG),DEU,0.16,2009,2000s,1,1,F,a) Free,Other exporter,Germany (FRG)
Austria,AUT,Germany (FRG),DEU,0.18,2004,2000s,1,1,F,a) Free,Other exporter,Germany (FRG)
Austria,AUT,Germany (FRG),DEU,0.4,2007,2000s,1,1,F,a) Free,Other exporter,Germany (FRG)
Austria,AUT,Germany (FRG),DEU,0.44,2003,2000s,1,1,F,a) Free,Other exporter,Germany (FRG)
Austria,AUT,Germany (FRG),DEU,0.6,2008,2000s,1,1,F,a) Free,Other exporter,Germany (FRG)
Austria,AUT,Germany (FRG),DEU,0.86,2007,2000s,1,1,F,a) Free,Other exporter,Germany (FRG)
Austria,AUT,Germany (FRG),DEU,1.06,2006,2000s,1,1,F,a) Free,Other exporter,Germany (FRG)
Austria,AUT,Ghana,GHA,0.7,2011,2010s,1.5,1.5,F,a) Free,Other exporter,Ghana
Austria,AUT,Ghana,GHA,1.05,2012,2010s,1.5,1.5,F,a) Free,Other exporter,Ghana
Austria,AUT,Greece,GRC,5,1982,1980s,1.5,1.5,F,a) Free,Other exporter,Greece
Austria,AUT,Greece,GRC,6,1988,1980s,2,2,F,a) Free,Other exporter,Greece
Austria,AUT,Greece,GRC,9.6,1993,1990s,2,2,F,a) Free,Other exporter,Greece
Austria,AUT,Greece,GRC,10,1983,1980s,1.5,1.5,F,a) Free,Other exporter,Greece
Austria,AUT,Greece,GRC,10,1984,1980s,1.5,1.5,F,a) Free,Other exporter,Greece
Austria,AUT,Greece,GRC,12,1989,1980s,1.5,1.5,F,a) Free,Other exporter,Greece
Austria,AUT,Greece,GRC,17.1,1994,1990s,2,2,F,a) Free,Other exporter,Greece
Austria,AUT,Greece,GRC,18,1990,1990s,1.5,1.5,F,a) Free,Other exporter,Greece
Austria,AUT,Greece,GRC,20.1,1991,1990s,1.5,1.5,F,a) Free,Other exporter,Greece
Austria,AUT,Greece,GRC,20.4,1992,1990s,1.5,1.5,F,a) Free,Other exporter,Greece
Austria,AUT,Iran,IRN,300,1985,1980s,5.5,5.5,PF,b) Partly Free,Other exporter,Iran
Austria,AUT,Iraq,IRQ,15,1981,1980s,6.5,6.5,NF,c) Not Free,Other exporter,Iraq
Austria,AUT,Iraq,IRQ,25,1986,1980s,7,7,NF,c) Not Free,Other exporter,Iraq
Austria,AUT,Iraq,IRQ,40,1982,1980s,6.5,6.5,NF,c) Not Free,Other exporter,Iraq
Austria,AUT,Iraq,IRQ,40,1983,1980s,7,7,NF,c) Not Free,Other exporter,Iraq
Austria,AUT,Iraq,IRQ,40,1984,1980s,7,7,NF,c) Not Free,Other exporter,Iraq
Austria,AUT,Iraq,IRQ,40,1985,1980s,7,7,NF,c) Not Free,Other exporter,Iraq
Austria,AUT,Israel,ISR,10.208,1981,1980s,2,2,F,a) Free,Other exporter,Israel
Austria,AUT,Italy,ITA,0.04,2001,2000s,1.5,1.5,F,a) Free,Other exporter,Italy
Austria,AUT,Italy,ITA,0.18,2010,2010s,1.5,1.5,F,a) Free,Other exporter,Italy
Austria,AUT,Italy,ITA,0.42,2006,2000s,1,1,F,a) Free,Other exporter,Italy
Austria,AUT,Italy,ITA,0.5,2009,2000s,1.5,1.5,F,a) Free,Other exporter,Italy
Austria,AUT,Italy,ITA,0.54,2005,2000s,1,1,F,a) Free,Other exporter,Italy
Austria,AUT,Italy,ITA,0.6,2007,2000s,1,1,F,a) Free,Other exporter,Italy
Austria,AUT,Italy,ITA,0.68,2008,2000s,1.5,1.5,F,a) Free,Other exporter,Italy
Austria,AUT,Jordan,JOR,0.4,2011,2010s,5.5,5.5,NF,c) Not Free,Other exporter,Jordan
Austria,AUT,Kuwait,KWT,0.3,1997,1990s,5,5,PF,b) Partly Free,Other exporter,Kuwait
Austria,AUT,Kuwait,KWT,0.4,2009,2000s,4,4,PF,b) Partly Free,Other exporter,Kuwait
Austria,AUT,Kuwait,KWT,4.5,1998,1990s,5,5,PF,b) Partly Free,Other exporter,Kuwait
Austria,AUT,Kuwait,KWT,4.5,1999,1990s,4.5,4.5,PF,b) Partly Free,Other exporter,Kuwait
Austria,AUT,Kuwait,KWT,5.7,1999,1990s,4.5,4.5,PF,b) Partly Free,Other exporter,Kuwait
Austria,AUT,Kuwait,KWT,6,1998,1990s,5,5,PF,b) Partly Free,Other exporter,Kuwait
Austria,AUT,Libya,LBY,0.8,2011,2010s,6.5,6.5,NF,c) Not Free,Other exporter,Libya
Austria,AUT,Libya,LBY,30,1987,1980s,6,6,NF,c) Not Free,Other exporter,Libya
Austria,AUT,Morocco,MAR,8.25,1979,1970s,4,4,PF,b) Partly Free,Other exporter,Morocco
Austria,AUT,Morocco,MAR,37.8,1980,1980s,4,4,PF,b) Partly Free,Other exporter,Morocco
Austria,AUT,Morocco,MAR,38.5,1979,1970s,4,4,PF,b) Partly Free,Other exporter,Morocco
Austria,AUT,Nigeria,NGA,6,1983,1980s,6,6,NF,c) Not Free,Other exporter,Nigeria
Austria,AUT,Nigeria,NGA,7.5,1981,1980s,2.5,2.5,F,a) Free,Other exporter,Nigeria
Austria,AUT,Nigeria,NGA,7.5,1984,1980s,6,6,NF,c) Not Free,Other exporter,Nigeria
Austria,AUT,Nigeria,NGA,7.5,1985,1980s,6,6,NF,c) Not Free,Other exporter,Nigeria
Austria,AUT,Nigeria,NGA,7.5,1986,1980s,6,6,NF,c) Not Free,Other exporter,Nigeria
Austria,AUT,Nigeria,NGA,15,1982,1980s,2.5,2.5,F,a) Free,Other exporter,Nigeria
Austria,AUT,Portugal,PRT,2.16,2007,2000s,1,1,F,a) Free,Other exporter,Portugal
Austria,AUT,Portugal,PRT,6.12,2009,2000s,1,1,F,a) Free,Other exporter,Portugal
Austria,AUT,Portugal,PRT,8.16,2010,2010s,1,1,F,a) Free,Other exporter,Portugal
Austria,AUT,Portugal,PRT,8.16,2011,2010s,1,1,F,a) Free,Other exporter,Portugal
Austria,AUT,Portugal,PRT,8.37,2008,2000s,1,1,F,a) Free,Other exporter,Portugal
Austria,AUT,Portugal,PRT,9.45,2009,2000s,1,1,F,a) Free,Other exporter,Portugal
Austria,AUT,Portugal,PRT,9.45,2010,2010s,1,1,F,a) Free,Other exporter,Portugal
Austria,AUT,Portugal,PRT,9.45,2011,2010s,1,1,F,a) Free,Other exporter,Portugal
Austria,AUT,Saudi Arabia,SAU,2.22,2010,2010s,6.5,6.5,NF,c) Not Free,Other exporter,Saudi Arabia
Austria,AUT,Saudi Arabia,SAU,5,1990,1990s,6.5,6.5,NF,c) Not Free,Other exporter,Saudi Arabia
Austria,AUT,Slovenia,SVN,1.8,1999,1990s,1.5,1.5,F,a) Free,Other exporter,Other importer
Austria,AUT,Slovenia,SVN,1.8,2000,2000s,1.5,1.5,F,a) Free,Other exporter,Other importer
Austria,AUT,Slovenia,SVN,2.4,2001,2000s,1.5,1.5,F,a) Free,Other exporter,Other importer
Austria,AUT,Slovenia,SVN,2.4,2002,2000s,1,1,F,a) Free,Other exporter,Other importer
Austria,AUT,Slovenia,SVN,2.4,2003,2000s,1,1,F,a) Free,Other exporter,Other importer
Austria,AUT,Slovenia,SVN,2.4,2004,2000s,1,1,F,a) Free,Other exporter,Other importer
Austria,AUT,Slovenia,SVN,2.4,2007,2000s,1,1,F,a) Free,Other exporter,Other importer
Austria,AUT,Slovenia,SVN,3,2005,2000s,1,1,F,a) Free,Other exporter,Other importer
Austria,AUT,Slovenia,SVN,3,2006,2000s,1,1,F,a) Free,Other exporter,Other importer
Austria,AUT,Spain,ESP,0.1,2002,2000s,1,1,F,a) Free,Other exporter,Spain
Austria,AUT,Spain,ESP,0.1,2003,2000s,1,1,F,a) Free,Other exporter,Spain
Austria,AUT,Spain,ESP,0.2,2004,2000s,1,1,F,a) Free,Other exporter,Spain
Austria,AUT,Sweden,SWE,0.04,1989,1980s,1,1,F,a) Free,Other exporter,Sweden
Austria,AUT,Sweden,SWE,0.3,2003,2000s,1,1,F,a) Free,Other exporter,Sweden
Austria,AUT,Sweden,SWE,6.848,1990,1990s,1,1,F,a) Free,Other exporter,Sweden
Austria,AUT,Thailand,THA,1.05,2010,2010s,4.5,4.5,PF,b) Partly Free,Other exporter,Thailand
Austria,AUT,Thailand,THA,1.05,2011,2010s,4,4,PF,b) Partly Free,Other exporter,Thailand
Austria,AUT,Thailand,THA,2.1,2009,2000s,4.5,4.5,PF,b) Partly Free,Other exporter,Thailand
Austria,AUT,Thailand,THA,6,1988,1980s,3,3,PF,b) Partly Free,Other exporter,Thailand
Austria,AUT,Tunisia,TUN,0.52,1997,1990s,5.5,5.5,PF,b) Partly Free,Other exporter,Tunisia
Austria,AUT,Tunisia,TUN,37.8,1979,1970s,5.5,5.5,PF,b) Partly Free,Other exporter,Tunisia
Austria,AUT,Turkmenistan,TKM,2,2011,2010s,7,7,NF,c) Not Free,Other exporter,Other importer
Austria,AUT,UAE,ARE,1.6,2006,2000s,5.5,5.5,NF,c) Not Free,Other exporter,UAE
Austria,AUT,UAE,ARE,2,2010,2010s,5.5,5.5,NF,c) Not Free,Other exporter,UAE
Austria,AUT,UAE,ARE,2.4,2007,2000s,5.5,5.5,NF,c) Not Free,Other exporter,UAE
Austria,AUT,UAE,ARE,3,2008,2000s,5.5,5.5,NF,c) Not Free,Other exporter,UAE
Austria,AUT,UAE,ARE,3,2009,2000s,5.5,5.5,NF,c) Not Free,Other exporter,UAE
Austria,AUT,Uganda,UGA,0.56,2009,2000s,4.5,4.5,PF,b) Partly Free,Other exporter,Uganda
Austria,AUT,Uganda,UGA,1.12,2010,2010s,4.5,4.5,PF,b) Partly Free,Other exporter,Uganda
Austria,AUT,UK,GBR,1.05,2008,2000s,1,1,F,a) Free,Other exporter,UK
